Predict,Round,class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
1.34E-06,0,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
0.999999762,1,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,3,5
7.89E-07,0,0,5,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
1.06E-07,0,0,5,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,4
3.22E-06,0,0,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
4.98E-06,0,0,5,0,9,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
0.000644798,0,0,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
0.99998796,1,1,5,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,5
0.000597027,0,0,5,0,9,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
0.000376431,0,0,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
2.05E-11,0,0,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
2.76E-09,0,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4
0.000852282,0,0,5,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5
0.999996901,1,1,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1
3.37E-11,0,0,5,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
4.62E-12,0,0,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
6.43E-05,0,0,5,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
1.95E-05,0,0,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
7.27E-11,0,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,4
7.19E-09,0,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,4
2.68E-12,0,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1
0.003466145,0,0,5,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
5.16E-06,0,0,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
0.999990344,1,1,5,3,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
0.999998331,1,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
7.99E-11,0,0,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3
5.90E-06,0,0,2,0,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1
2.85E-10,0,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1
2.42E-05,0,0,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1
2.15E-12,0,0,5,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,5,4
0.000400792,0,0,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
8.09E-12,0,0,0,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
1.42E-05,0,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
4.17E-07,0,0,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
3.83E-05,0,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
3.73E-06,0,0,2,2,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,0,1
0.003820349,0,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
5.90E-15,0,0,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1
2.58E-11,0,0,5,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
0.000201029,0,0,5,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
1.24E-05,0,0,2,0,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
1.00E-05,0,0,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
2.65E-05,0,0,2,0,9,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
1.03E-13,0,0,5,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4
7.41E-10,0,0,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
0.000383277,0,0,2,2,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
7.65E-06,0,0,5,2,8,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0
2.31E-07,0,0,2,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,4
0.999962449,1,1,5,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5
8.90E-12,0,0,2,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,1
5.81E-07,0,0,5,2,4,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,3,3,1
0.999998689,1,1,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,1
0.000158086,0,0,2,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5
5.44E-07,0,0,5,0,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,3,1
3.03E-08,0,0,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1
3.38E-08,0,0,5,2,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,3,1
5.99E-09,0,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
0.000170186,0,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
0.000177271,0,0,2,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1
0.000624279,0,0,4,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5
5.37E-05,0,0,5,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5
0.001247778,0,0,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
1.25E-10,0,0,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
7.68E-06,0,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
1.97E-07,0,0,5,2,4,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1
2.51E-10,0,0,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
1.50E-07,0,0,2,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1
5.17E-11,0,0,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
2.76E-10,0,0,0,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
3.77E-10,0,0,5,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
8.89E-08,0,0,5,0,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1
5.88E-05,0,0,0,2,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
7.86E-09,0,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1
8.53E-15,0,0,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4
2.19E-06,0,0,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
4.43E-12,0,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
1.69E-13,0,0,5,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1
0.000247869,0,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
2.56E-11,0,0,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
2.40E-11,0,0,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3
0.000165154,0,0,5,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
0.000849351,0,0,4,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5
0.000666147,0,0,5,0,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
2.34E-11,0,0,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
0.999999881,1,1,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5
1.33E-09,0,0,5,3,9,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1
5.06E-05,0,0,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,5,5
4.33E-07,0,0,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1
1.28E-05,0,0,5,2,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
0.000102395,0,0,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5
0.999988317,1,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1
1.83E-12,0,0,5,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
0.999970078,1,1,2,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,1
4.72E-06,0,0,2,2,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1
9.70E-06,0,0,5,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
4.29E-10,0,0,5,2,8,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,3,1
1.09E-10,0,0,0,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1
2.62E-05,0,0,2,0,3,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1
0.000107111,0,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
8.23E-05,0,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
0.001165025,0,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
2.32E-05,0,0,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3
0.000132248,0,0,2,2,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
5.62E-05,0,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
0.000128065,0,0,2,2,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
0.999999404,1,1,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5
2.50E-05,0,0,2,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
1.46E-11,0,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
0.999640703,1,1,5,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1
5.96E-05,0,0,0,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1
3.45E-12,0,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
5.25E-06,0,0,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
0.000647795,0,0,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
5.30E-12,0,0,2,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
9.28E-12,0,0,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1
5.35E-08,0,0,5,0,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,3,1
3.32E-07,0,0,2,0,8,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,3,0,1
2.88E-06,0,0,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
4.50E-05,0,0,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1
1.58E-11,0,0,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
9.95E-11,0,0,5,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
1.47E-06,0,0,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,0,1
1.35E-05,0,0,5,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
0.001177887,0,0,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
0.000126358,0,0,5,2,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
2.31E-06,0,0,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1
2.77E-12,0,0,0,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
3.90E-12,0,0,5,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
1.97E-10,0,0,0,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
7.40E-10,0,0,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
0.000430761,0,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
1.42E-11,0,0,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
0.000103721,0,0,5,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5
6.33E-06,0,0,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,1
4.51E-11,0,0,5,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
1.65E-08,0,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,4
1.57E-09,0,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
1.36E-09,0,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3
0.000122422,0,0,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1
2.20E-09,0,0,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
0.000899704,0,0,5,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5
6.66E-05,0,0,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
2.93E-07,0,0,5,0,9,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0
3.46E-10,0,0,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
2.58E-09,0,0,2,3,9,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1
9.61E-05,0,0,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
1.55E-11,0,0,0,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3
1.74E-11,0,0,0,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
3.90E-07,0,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
5.54E-06,0,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
0.999999642,1,1,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
0.00036661,0,0,4,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5
0.006656413,0,0,2,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,4,5
4.08E-11,0,0,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
1.38E-13,0,0,2,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4
0.999999523,1,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1
6.45E-05,0,0,0,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
0.001615428,0,0,2,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5
8.37E-07,0,0,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
9.36E-13,0,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,4
1.46E-10,0,0,5,0,8,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,3,1
0.000237877,0,0,5,2,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
0.000175338,0,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3
0.000137989,0,0,2,2,9,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
3.02E-12,0,0,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
0.000326838,0,0,2,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5
7.42E-10,0,0,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
2.38E-06,0,0,5,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
6.24E-06,0,0,5,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
0.000100195,0,0,2,2,8,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0
2.06E-05,0,0,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
0.003447069,0,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
1.55E-10,0,0,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1
8.03E-08,0,0,5,0,8,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,3,1
5.30E-07,0,0,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4
0.999996901,1,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
6.47E-11,0,0,0,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
1.07E-09,0,0,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
5.34E-06,0,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
1.74E-10,0,0,0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
9.38E-10,0,0,5,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
0.000275486,0,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
0.00046839,0,0,5,0,9,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0
9.24E-05,0,0,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5
1.34E-15,0,0,2,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1
6.83E-05,0,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
6.62E-10,0,0,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
1.19E-10,0,0,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
6.17E-05,0,0,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
0.000348763,0,0,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
8.87E-12,0,0,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
0.999996781,1,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1
7.18E-16,0,0,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1
0.00044106,0,0,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
2.13E-05,0,0,5,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
0.000710736,0,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
1.95E-11,0,0,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
8.33E-11,0,0,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
0.999989033,1,1,5,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5
2.47E-11,0,0,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
9.62E-05,0,0,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,5,5
1,1,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5
5.04E-10,0,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,4
0.003563157,0,0,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
2.63E-05,0,0,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
2.69E-06,0,0,5,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
0.000695646,0,0,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
1.12E-05,0,0,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
2.99E-09,0,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,3,1
7.95E-16,0,0,2,3,9,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4
9.30E-14,0,0,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
0.006704794,0,0,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
2.02E-11,0,0,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
0.999997973,1,1,5,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,5
8.61E-05,0,0,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
0.000550016,0,0,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
1.24E-05,0,0,5,2,8,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
1.71E-10,0,0,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
8.49E-08,0,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
2.91E-07,0,0,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1
