"City","Latitude","Logitude","error"
"Saint Paul, Minnesota, USA","44.953703","-93.089958",""
"Cleveland, Ohio, USA","41.499320","-81.694361",""
"Fraserburgh, Scotland, UK","57.693352","-2.007631",""
"Weed, California, USA","41.422650","-122.386127",""
"Fort Collins, Colorado, USA","40.585260","-105.084423",""
"Auburn, California, USA","38.896565","-121.076890",""
"Auckland,     New Zealand","-36.848460","174.763332",""
"Patchogue, New York, USA","40.765978","-73.019343",""
"Lahaina, Hawaii, USA","20.878333","-156.682500",""
"Springdale, Utah, USA","37.188871","-112.998552",""
"Tampa, Florida, USA","27.950575","-82.457178",""
"Gorham, Maine, USA","43.679531","-70.444225",""
"Chico, California, USA","39.728494","-121.837478",""
"San Diego, California, USA","32.715738","-117.161084",""
"Tulsa, Oklahoma, USA","36.153982","-95.992775",""
"Nantucket, Massachusetts, USA","41.283470","-70.099451",""
"Escondido, California, USA","33.119207","-117.086421",""
